praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
"42,90","12,40","11,00","9,06","4,70","11,80","31,60","305,00","2,07","17,50","82,00"
"5,28","5,57","16,30","22,30","18,90","20,70","28,40","466,00","17,00","27,60","14,30"
"79,10","50,50","24,60","53,80","40,00","10,70","21,10","445,00","19,10","41,80","10,80"
"81,30","16,80","4,14","445,00","62,10","5,33","20,20","1.094,00","5,09","23,30","52,30"
"32,20","26,90","2,81","2,81","1,65","33,70","56,20","931,00","35,20","46,10","9,31"
"40,00","20,00","14,20","85,10","18,90","6,04","12,30","379,00","5,00","15,50","74,30"
"19,60","20,20","14,20","14,50","1,51","11,40","13,90","483,00","5,23","15,40","131,00"
"50,90","28,10","6,26","235,00","14,50","5,05","13,70","644,00","26,70","42,90","20,90"
"41,40","27,10","8,58","36,50","42,20","14,60","27,40","400,00","18,80","57,30","56,20"
"58,80","31,90","4,07","14,20","3,96","7,64","11,20","231,00","16,30","39,20","17,50"
"64,90","21,10","10,90","63,20","19,50","27,10","41,80","461,00","8,51","20,00","11,70"
"62,10","32,80","11,40","18,10","22,70","10,70","47,00","1.963,00","6,98","15,30","5,73"
"32,20","28,10","20,00","19,60","3,19","8,28","15,30","110,00","23,70","58,30","9,56"
"63,80","64,40","2,25","231,00","18,90","18,80","39,60","843,00","17,60","37,90","20,00"
"22,10","26,70","3,65","26,40","10,60","14,20","26,40","737,00","30,50","42,90","16,70"
"63,20","38,90","10,10","66,70","14,10","7,23","15,30","340,00","3,52","38,20","130,00"
"132,00","54,70","10,00","44,10","109,00","13,50","30,00","267,00","27,10","47,00","18,60"
"26,90","24,40","22,70","17,20","6,44","21,50","27,60","407,00","16,70","45,70","123,00"
"39,20","17,60","59,40","119,00","12,70","16,40","28,60","313,00","54,70","74,30","19,30"
"42,90","17,60","1,43","62,10","12,90","18,60","80,60","5.523,00","10,20","21,30","15,70"
"101,00","100,00","10,50","65,50","27,40","8,20","17,90","449,00","10,00","14,50","4,61"
"73,00","23,10","5,42","92,20","14,60","4,26","30,20","991,00","30,80","74,30","36,50"
"25,50","23,50","13,60","127,00","17,80","8,13","6,55","302,00","6,21","13,90","57,80"
"33,70","16,80","12,50","12,70","16,30","5,52","16,00","264,00","16,80","34,30","2,67"
"205,00","71,00","9,06","79,90","16,80","23,90","20,70","441,00","14,20","31,10","20,50"
"24,10","28,10","22,70","94,70","36,80","17,90","33,70","400,00","25,90","55,20","31,10"
"34,00","21,30","19,10","9,39","5,42","13,80","22,10","478,00","19,60","60,40","36,20"
"57,30","23,50","10,70","45,30","52,80","8,82","20,70","1.512,00","10,60","24,40","12,70"
"55,20","22,30","17,60","22,50","9,39","23,70","27,60","375,00","24,60","53,80","22,50"
"77,00","21,10","12,20","22,10","3,13","6,61","22,90","445,00","26,90","38,20","10,30"
"59,40","41,40","9,73","14,90","6,15","9,06","20,40","500,00","30,20","56,70","14,50"
"9,39","27,90","13,00","22,50","17,50","19,50","26,90","426,00","28,60","36,50","18,60"
"16,50","33,40","1,00","403,00","35,50","16,00","33,10","710,00","16,40","29,40","19,50"
"61,00","40,70","13,50","14,50","5,83","7,99","13,60","757,00","11,30","23,90","7,37"
"63,80","34,90","8,82","85,80","17,50","14,70","26,90","604,00","2,92","16,80","64,40"
"45,70","12,10","80,60","90,60","23,30","7,84","15,70","362,00","64,90","100,00","16,50"
"39,20","10,00","4,45","15,00","27,60","10,60","17,80","437,00","11,80","28,60","40,30"
"120,00","85,80","9,73","114,00","13,30","8,06","15,80","578,00","6,85","21,10","75,70"
"5,78","1,01","8,82","60,40","31,10","15,50","31,30","730,00","3,31","15,80","56,20"
"35,20","10,40","10,20","10,40","26,40","10,80","26,40","604,00","20,90","48,30","16,50"
"19,60","46,60","1,63","37,90","7,50","13,10","19,30","528,00","21,90","60,40","44,50"
"34,00","18,80","42,90","89,80","44,90","4,61","17,90","673,00","25,70","49,10","25,50"
"47,40","28,90","9,14","19,50","73,70","19,30","27,60","453,00","3,34","20,50","61,50"
"44,10","28,40","17,20","22,50","13,50","13,30","20,20","313,00","23,70","33,40","14,50"
"119,00","29,40","16,10","15,30","9,82","18,60","28,60","396,00","49,60","64,40","18,80"
"53,80","23,90","8,82","97,30","24,60","3,96","7,57","153,00","15,10","28,10","15,70"
"164,00","72,30","3,89","11,40","40,70","10,90","29,20","1.928,00","25,50","41,40","25,70"
"42,20","22,30","1,36","38,50","21,50","24,10","39,60","588,00","20,40","34,00","16,40"
"71,00","66,70","4,91","11,40","14,20","5,00","16,00","346,00","18,30","33,40","13,20"
"59,90","32,80","12,70","12,50","17,50","39,60","61,00","882,00","32,20","73,00","26,70"
"41,40","28,90","15,30","30,20","13,00","18,60","41,00","557,00","4,87","27,10","71,70"
"25,90","19,30","13,50","20,00","5,05","15,40","33,10","757,00","27,90","56,20","13,80"
"78,40","44,10","16,30","16,50","3,16","94,70","198,00","1.055,00","6,67","16,30","17,50"
"47,00","57,30","9,39","164,00","52,80","9,31","14,60","638,00","10,00","29,70","9,47"
"17,30","28,90","10,20","88,20","9,82","22,70","24,10","328,00","21,90","37,90","14,10"
"53,30","19,80","13,20","34,30","22,10","9,56","16,30","638,00","2,33","12,00","53,30"
"20,50","15,00","10,30","12,60","29,40","34,00","70,40","1.762,00","3,68","17,20","127,00"
"55,20","27,40","55,70","131,00","31,10","10,20","20,70","375,00","8,66","23,30","26,90"
"84,30","23,10","3,31","311,00","25,50","4,87","10,40","244,00","10,10","29,40","57,80"
"135,00","198,00","5,38","120,00","13,70","9,73","23,10","519,00","10,10","26,90","13,90"
"25,30","17,50","6,15","126,00","23,70","6,98","18,80","56,70","8,28","14,70","10,20"
"42,60","23,30","16,40","40,00","1,75","6,55","10,50","610,00","11,90","25,90","45,70"
"71,00","40,70","13,00","157,00","40,30","5,19","11,40","1,00","2,76","21,10","74,30"
"62,60","26,40","9,22","15,80","61,50","6,26","9,91","311,00","2,97","17,30","124,00"
"51,40","25,50","7,64","77,70","23,10","14,20","22,90","311,00","27,60","44,90","16,40"
"63,80","24,60","22,50","12,70","20,70","14,90","26,90","655,00","7,04","23,50","91,40"
"73,70","34,90","19,30","85,10","47,40","8,98","20,70","538,00","24,10","30,50","17,00"
"46,60","19,30","13,50","37,50","123,00","9,06","14,10","717,00","2,57","20,20","106,00"
"45,70","14,90","5,88","14,60","25,00","21,50","36,20","445,00","6,67","15,40","49,60"
"86,60","36,50","1,00","461,00","36,80","42,20","54,70","227,00","5,88","13,80","42,60"
"30,50","23,10","6,26","157,00","9,91","8,66","20,90","237,00","23,50","36,20","5,33"
"35,20","9,14","17,20","12,40","3,62","18,80","34,00","784,00","20,00","39,60","15,10"
"211,00","88,20","5,88","205,00","17,90","26,40","34,00","305,00","14,90","41,00","11,80"
"43,70","21,50","10,50","29,70","26,20","11,40","19,50","422,00","11,70","39,60","9,22"
"19,50","13,80","19,30","14,10","1,27","5,23","33,70","1.046,00","32,20","75,00","42,60"
"118,00","64,40","35,50","100,00","121,00","21,70","36,20","922,00","1,24","34,00","1,00"
"64,40","24,80","91,40","188,00","50,50","1,96","13,80","523,00","4,26","22,50","122,00"
"43,70","26,70","49,60","59,90","11,70","11,80","41,40","3.523,00","39,60","83,50","72,30"
"81,30","39,60","18,60","21,70","4,45","5,47","18,10","67,90","3,28","14,30","70,40"
"58,80","28,10","18,90","38,90","43,70","4,96","17,80","562,00","26,90","57,30","20,90"
"21,70","18,60","11,10","19,50","12,70","19,60","34,00","305,00","17,60","30,00","12,20"
"62,10","27,10","2,62","178,00","28,10","58,30","89,00","1.526,00","34,30","63,80","20,90"
"24,60","25,50","10,60","18,10","1,31","2,17","31,90","3,02","12,70","30,50","20,50"
"6,10","21,30","1,89","196,00","40,30","53,30","93,10","1.197,00","20,20","29,70","2,37"
"154,00","86,60","34,00","337,00","160,00","25,50","47,40","1.486,00","3,28","35,20","231,00"
"73,70","34,90","24,40","331,00","70,40","3,96","10,80","426,00","7,57","27,40","20,40"
"70,40","37,50","6,55","8,66","6,67","12,30","13,50","300,00","21,70","50,50","12,10"
"77,00","26,40","17,80","14,20","13,90","34,00","53,30","491,00","6,44","13,80","10,40"
"11,80","22,50","5,73","8,98","12,60","7,10","20,50","947,00","18,30","33,70","20,50"
"18,10","22,70","4,07","163,00","12,20","14,10","28,40","610,00","7,30","10,70","4,18"
"32,50","25,70","6,55","264,00","61,00","9,22","14,60","523,00","23,10","39,20","18,80"
"49,60","46,10","9,06","47,80","25,00","7,37","16,50","441,00","10,10","13,60","6,21"
"41,80","23,90","4,53","14,50","32,20","12,30","24,10","441,00","17,90","29,20","12,40"
"20,50","32,50","10,10","55,70","18,80","3,68","24,60","311,00","2,25","18,80","68,50"
"58,80","17,50","13,60","23,90","2,25","6,15","12,40","264,00","3,02","22,90","85,10"
"41,40","26,40","44,90","110,00","24,60","3,72","3,16","667,00","3,08","11,20","51,40"
"34,90","16,50","4,33","72,30","25,90","39,60","70,40","1.230,00","12,60","30,50","42,20"
"20,00","19,10","10,20","14,30","16,70","21,10","19,60","325,00","21,70","38,90","20,50"
"179,00","27,90","6,49","10,20","7,91","7,77","10,30","626,00","15,80","22,70","17,00"
"51,90","30,20","8,74","96,50","25,30","6,92","15,00","483,00","10,10","28,60","27,40"
"92,20","69,80","13,90","17,90","12,90","17,20","27,60","491,00","15,70","34,90","17,90"
"48,30","15,70","10,10","87,40","11,00","28,10","49,10","552,00","25,90","46,60","16,80"
"85,10","27,90","17,20","437,00","107,00","16,30","27,90","621,00","22,30","39,20","27,90"
"36,50","19,80","6,38","14,70","24,80","44,10","183,00","1.208,00","7,64","27,90","111,00"
"73,70","27,60","11,30","25,70","26,70","18,10","28,90","233,00","4,29","27,60","125,00"
"19,30","27,40","13,70","131,00","51,40","11,40","18,10","673,00","5,47","10,40","21,50"
"28,90","21,70","11,70","71,00","21,30","13,30","21,50","947,00","27,90","44,50","9,82"
"50,90","120,00","27,40","37,50","20,20","20,40","39,20","466,00","7,37","17,20","27,40"
"73,00","28,60","14,10","23,30","3,43","379,00","730,00","3.854,00","14,90","33,70","16,50"
"62,10","27,10","11,90","21,30","8,90","7,17","33,40","1.027,00","5,14","8,74","67,90"
"34,90","24,80","111,00","221,00","28,60","43,70","71,00","1.747,00","22,70","49,10","15,70"
"66,10","63,80","9,91","88,20","25,70","6,49","17,90","730,00","18,30","37,90","8,51"
"26,90","17,30","6,92","17,90","18,30","6,79","17,30","717,00","26,70","41,40","30,50"
"78,40","21,10","8,43","32,20","40,30","5,78","17,90","213,00","10,50","23,70","11,20"
"37,50","31,10","16,30","17,50","5,99","5,33","11,00","328,00","21,70","34,60","11,90"
"55,20","10,80","6,10","8,06","18,60","12,70","49,10","1.252,00","28,90","47,00","24,80"
"55,70","24,80","9,31","114,00","15,40","10,20","17,20","414,00","17,20","32,50","13,10"
"49,10","18,40","14,60","23,70","6,49","4,70","12,70","136,00","3,92","25,00","127,00"
"61,50","21,10","11,00","13,60","33,70","5,57","45,30","1.197,00","17,80","35,90","15,50"
"3,37","11,70","21,10","54,70","5,52","21,70","27,10","1.104,00","12,60","36,80","105,00"
"181,00","93,90","8,74","147,00","19,30","18,80","18,60","355,00","7,57","15,70","73,00"
"16,00","25,70","16,10","82,00","14,50","4,83","12,50","319,00","28,60","47,40","8,13"
"27,10","41,80","13,30","18,10","15,80","7,43","16,50","562,00","30,50","48,30","20,50"
"131,00","72,30","9,47","17,50","22,50","9,31","15,10","533,00","9,39","32,80","178,00"
"65,50","31,10","15,10","17,20","2,64","21,90","29,70","547,00","26,70","44,50","17,30"
"6,61","18,80","1,14","141,00","12,30","22,50","22,70","437,00","18,40","23,10","10,50"
"27,60","18,60","17,60","13,20","15,70","18,80","37,50","505,00","6,10","21,70","21,70"
"71,00","38,90","5,62","7,37","5,73","8,66","19,30","939,00","12,70","30,20","15,00"
"98,20","36,80","13,90","31,10","47,40","18,60","27,60","346,00","17,50","35,50","19,60"
"50,50","23,50","7,77","10,60","41,80","9,56","19,60","644,00","24,10","53,80","15,70"
"112,00","47,80","2,84","193,00","39,60","4,26","14,60","828,00","10,10","18,80","70,40"
"83,50","54,20","13,10","21,10","8,20","23,50","36,50","426,00","24,10","48,30","24,60"
"33,40","24,60","3,34","17,80","6,79","8,66","12,90","1.037,00","28,40","38,20","23,30"
"106,00","47,80","6,61","11,10","42,90","103,00","255,00","1.981,00","28,90","44,50","21,90"
"25,30","40,00","13,80","17,60","7,57","9,31","17,50","813,00","6,85","15,70","4,14"
"10,80","19,50","12,50","107,00","18,10","3,68","13,80","723,00","10,70","16,70","50,90"
"3,16","4,26","12,10","73,00","26,90","160,00","207,00","1.275,00","9,39","23,50","26,70"
"79,90","34,00","8,74","22,30","73,70","13,90","23,70","496,00","21,90","48,30","11,80"
"93,10","44,90","9,65","28,40","16,00","17,30","23,50","615,00","23,70","44,90","8,28"
"37,50","18,30","15,30","16,10","10,30","3,62","19,30","1.208,00","24,80","43,30","30,00"
"35,90","16,10","10,60","8,35","11,20","22,90","33,10","154,00","21,50","40,30","14,30"
"107,00","30,00","8,66","38,20","9,82","6,26","8,13","466,00","5,88","27,60","155,00"
"102,00","32,50","5,78","297,00","29,40","2,46","13,10","41,00","15,30","24,60","19,30"
"32,80","26,70","15,10","29,40","9,39","45,70","63,80","1.144,00","16,00","28,40","9,82"
"100,00","27,10","8,13","94,70","22,70","4,41","14,70","257,00","12,90","32,50","49,10"
"90,60","58,30","4,41","132,00","13,60","16,40","68,50","3.854,00","26,70","71,00","39,60"
"100,00","25,70","1,00","241,00","33,70","19,50","29,40","552,00","24,10","47,00","27,90"
"75,70","29,70","9,31","151,00","32,80","14,10","49,10","547,00","20,90","40,30","11,40"
"53,80","20,70","13,80","82,80","31,30","3,08","12,70","375,00","18,90","30,80","7,04"
"90,60","44,50","5,14","11,70","51,40","18,30","27,90","325,00","45,70","67,30","26,40"
"69,80","47,40","18,80","135,00","23,70","8,06","36,80","1.778,00","9,91","24,40","16,80"
"193,00","61,00","28,90","74,30","35,20","27,10","40,70","259,00","40,30","53,80","11,30"
"85,80","22,30","7,23","104,00","26,90","23,50","38,50","509,00","30,50","58,30","35,50"
"67,90","14,90","10,70","41,00","20,00","34,30","50,90","337,00","19,30","34,60","22,10"
"19,10","9,82","2,21","5,00","12,50","3,72","20,20","1.731,00","2,59","30,80","141,00"
"16,10","15,30","31,90","50,90","32,20","20,90","33,10","349,00","25,30","47,00","24,40"
"95,60","28,90","1,84","14,50","49,60","22,70","55,70","906,00","7,43","28,90","124,00"
"49,10","21,30","4,91","89,80","21,70","2,62","17,90","947,00","9,73","47,00","264,00"
"18,90","26,20","10,70","155,00","23,10","12,50","27,10","567,00","15,70","25,90","37,50"
"74,30","36,50","20,90","9,06","6,21","2,48","13,70","491,00","4,74","16,40","71,70"
"25,70","24,60","10,60","35,90","10,00","15,10","35,50","698,00","37,20","53,30","16,40"
"61,00","31,10","7,91","7,64","35,90","15,70","28,90","610,00","24,40","39,60","16,80"
"27,10","16,40","12,20","135,00","22,50","8,20","19,80","757,00","17,50","43,70","2,31"
"151,00","48,70","10,80","29,70","64,90","5,88","21,50","685,00","1,00","86,60","3,05"
"179,00","77,00","11,10","207,00","45,30","4,14","8,28","133,00","12,70","19,30","36,50"
"154,00","136,00","24,60","26,40","4,78","2,21","12,70","509,00","23,70","31,30","8,82"
"73,70","36,20","27,90","157,00","61,00","12,90","16,00","237,00","5,28","18,40","66,70"
"95,60","42,90","9,65","74,30","45,30","13,00","70,40","1.811,00","24,10","50,50","16,30"
"55,20","51,40","17,60","18,30","16,70","17,50","19,50","319,00","1,84","12,60","67,90"
"36,50","10,50","10,50","19,50","9,91","15,70","26,40","400,00","3,92","17,00","55,70"
"30,50","15,70","4,57","18,90","32,50","11,90","12,90","655,00","5,73","9,91","59,40"
"158,00","37,20","16,70","20,90","4,66","14,70","17,60","375,00","15,40","22,50","20,40"
"49,60","31,90","39,20","246,00","69,20","7,30","16,50","457,00","12,20","15,80","6,73"
"89,80","35,90","15,40","51,90","14,20","25,70","56,20","1.165,00","17,30","22,30","6,92"
"35,90","18,10","10,20","17,90","23,10","40,70","70,40","1.596,00","9,31","20,40","2,41"
"67,90","28,90","15,00","16,80","12,60","6,92","18,80","890,00","7,99","19,60","85,10"
"89,00","31,60","15,30","41,40","73,70","42,20","52,80","379,00","20,20","50,90","29,70"
"57,80","21,70","4,18","64,40","9,39","5,14","69,20","1.322,00","32,80","56,20","11,90"
"85,10","38,20","17,20","19,80","3,08","12,20","32,80","890,00","4,37","24,40","86,60"
"24,80","21,50","3,28","173,00","10,10","37,50","56,70","698,00","21,30","35,20","11,70"
"63,80","19,60","14,70","36,20","46,10","11,10","51,40","1.334,00","8,82","11,10","41,80"
"78,40","33,10","19,30","25,90","3,89","17,60","21,50","418,00","26,20","55,70","19,30"
"73,70","32,80","2,23","17,80","16,30","31,10","44,90","267,00","27,90","47,00","24,60"
"117,00","40,30","11,20","137,00","20,70","23,30","35,20","649,00","9,14","12,10","69,20"
"117,00","78,40","11,30","11,40","6,21","1,64","6,55","673,00","2,92","22,70","47,40"
"34,30","20,50","5,94","52,30","18,90","6,92","18,10","538,00","61,00","91,40","8,35"
"179,00","34,60","11,10","14,30","1,00","61,00","175,00","1.499,00","4,22","20,50","117,00"
"106,00","39,20","2,74","155,00","7,37","17,00","34,60","557,00","27,40","55,70","46,60"
"39,20","17,80","5,67","205,00","64,40","14,70","31,10","340,00","26,20","54,20","69,80"
"71,70","25,70","16,00","12,40","19,10","24,40","27,90","274,00","3,79","23,30","85,10"
"13,90","21,10","15,80","35,90","16,50","11,70","15,00","1.322,00","13,00","23,70","13,10"
"91,40","80,60","6,49","67,30","18,40","8,58","10,30","466,00","2,92","21,70","110,00"
"50,50","13,60","12,20","15,30","21,90","20,50","26,90","365,00","23,30","44,10","19,80"
"34,00","15,70","12,00","81,30","27,90","15,00","30,20","500,00","5,23","14,50","74,30"
"48,70","19,50","25,70","14,50","4,87","22,10","34,60","414,00","30,50","53,80","14,60"
"84,30","34,60","10,00","15,30","12,90","7,77","22,50","375,00","34,30","53,30","21,70"
"44,50","18,10","18,80","41,80","20,40","18,10","22,10","466,00","23,90","40,30","21,10"
"31,30","21,30","10,30","33,10","81,30","16,10","23,50","588,00","21,30","41,80","21,30"
"79,10","59,40","24,40","34,90","3,46","22,50","42,20","422,00","23,30","34,60","14,30"
"42,60","21,70","11,70","40,30","2,74","10,50","25,00","610,00","8,06","35,50","99,10"
"51,40","38,90","13,30","15,70","6,38","17,80","29,20","621,00","1,65","16,50","86,60"
"63,80","51,40","9,06","13,30","8,20","14,90","24,60","523,00","26,20","40,70","18,80"
"14,20","18,40","18,80","64,90","23,30","9,39","21,90","757,00","31,60","47,80","15,10"
"42,90","20,40","37,20","117,00","83,50","13,80","21,90","578,00","13,10","33,40","172,00"
"26,40","17,20","9,82","164,00","30,80","5,67","16,00","1.219,00","4,96","19,10","86,60"
"6,21","4,87","49,10","66,10","21,10","6,55","16,80","914,00","18,40","30,20","9,91"
"31,60","20,70","13,70","16,30","4,53","19,50","30,80","449,00","33,40","44,90","13,30"
"78,40","25,70","12,50","28,40","49,10","24,10","31,30","346,00","8,98","24,60","9,82"
"30,00","9,31","18,60","19,30","13,50","8,13","33,10","466,00","6,26","34,00","107,00"
"50,50","18,80","16,80","23,90","16,40","25,00","23,90","227,00","2,27","11,50","97,30"
"23,90","20,00","8,51","99,10","18,30","5,28","20,20","813,00","13,20","32,50","19,60"
"73,70","23,30","16,00","33,10","49,60","4,33","6,55","106,00","3,37","41,40","119,00"
"11,00","14,70","15,80","42,90","18,30","16,00","33,40","362,00","37,90","56,70","45,30"
"65,50","25,30","12,30","145,00","19,80","4,03","14,30","914,00","4,57","22,50","77,70"
"21,70","8,20","9,31","17,50","63,20","7,43","15,70","429,00","7,30","17,60","58,80"
"63,80","18,40","7,04","143,00","23,70","49,60","65,50","1.433,00","2,33","16,40","60,40"
"104,00","60,40","2,11","173,00","14,70","11,80","15,10","410,00","26,40","50,90","19,50"
"25,70","18,40","8,06","22,10","44,50","17,20","26,20","284,00","28,10","44,50","23,10"
"17,30","21,70","35,20","37,50","22,30","8,28","11,10","533,00","2,74","13,30","97,30"
"8,43","36,80","24,10","22,90","9,39","14,70","20,40","685,00","12,50","15,10","5,09"
"57,80","16,50","11,20","83,50","11,80","31,30","44,10","1.794,00","18,10","35,50","11,70"
"91,40","104,00","38,90","70,40","26,20","33,70","62,60","956,00","11,40","23,70","10,70"
"79,90","36,50","8,13","93,90","8,43","9,91","16,70","644,00","20,00","39,20","7,30"
"81,30","32,50","7,64","35,90","3,65","9,22","17,50","400,00","47,00","70,40","27,60"
"107,00","30,50","1,95","9,47","7,91","54,70","82,00","1.459,00","23,50","42,90","13,10"
"99,10","36,20","16,70","17,90","17,50","1,63","21,50","956,00","31,30","52,30","22,50"
"93,90","45,30","4,91","23,10","10,60","12,10","7,99","692,00","8,35","21,70","82,80"
"38,90","18,40","13,70","14,90","10,50","8,58","23,30","410,00","6,44","12,00","80,60"
"78,40","20,90","9,56","17,00","45,70","16,80","24,60","528,00","26,20","44,50","7,04"
"33,10","26,40","15,10","11,00","15,10","18,60","27,90","828,00","21,50","37,20","10,60"
"60,40","22,50","12,50","31,90","2,05","20,90","34,30","519,00","6,61","12,10","64,40"
"70,40","23,10","6,15","331,00","49,60","34,90","70,40","1.310,00","16,10","33,10","13,20"
"51,90","29,40","61,00","121,00","79,90","9,82","27,90","1.275,00","10,60","24,40","5,47"
"93,90","27,40","5,52","16,50","26,20","10,60","14,30","204,00","5,47","19,10","109,00"
"93,90","30,20","1,88","422,00","25,70","3,92","16,50","717,00","1,00","115,00","7,43"
"33,10","9,31","14,90","12,60","7,84","17,20","75,70","2.571,00","15,30","36,80","19,30"
"37,90","19,60","1,00","184,00","24,80","19,30","30,80","588,00","20,40","28,60","26,20"
"45,30","27,90","5,62","87,40","15,40","4,26","19,10","866,00","20,40","38,90","26,40"
"105,00","80,60","18,40","8,98","7,50","16,30","26,20","414,00","11,00","13,20","10,50"
"75,00","31,90","11,70","93,10","16,00","3,22","15,40","95,60","11,80","33,10","42,20"
